Age,Number_of_Referrals,Tenure_in_Months,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Customer_ID,Gender,Married,State,Value_Deal,Phone_Service,Multiple_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Customer_Status,Churn_Category,Churn_Reason
35,7,27,65.6,593.3,0.0,0,381.51,974.81,19877-DEL,Male,No,Delhi,Unknown,Yes,No,Yes,Cable,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,Stayed,Unknown,Unknown
45,14,13,4.0,542.4,38.33,10,96.21,610.28,58353-MAH,Female,Yes,Maharashtra,Unknown,Yes,Yes,Yes,Cable,No,No,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,Stayed,Unknown,Unknown
51,4,35,73.9,280.85,0.0,0,134.6,415.45,25063-WES,Male,No,West Bengal,Deal 5,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned,Competitor,Competitor had better devices
79,3,21,98.0,1237.85,0.0,0,361.66,1599.51,59787-KAR,Male,No,Karnataka,Deal 4,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned,Dissatisfaction,Product dissatisfaction
80,3,8,83.9,267.4,0.0,0,22.14,289.54,28544-TAM,Female,No,Tamil Nadu,Unknown,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,Churned,Dissatisfaction,Network reliability
24,9,2,69.4,571.45,0.0,0,150.93,722.38,32750-TEL,Male,No,Telangana,Deal 5,Yes,No,Yes,Cable,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,Stayed,Unknown,Unknown
66,9,23,109.7,7904.25,0.0,0,707.16,8611.41,84741-MAH,Female,Yes,Maharashtra,Deal 1,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,Stayed,Unknown,Unknown
51,12,24,84.65,5377.8,0.0,20,816.48,6214.28,65618-GUJ,Male,Yes,Gujarat,Deal 2,Yes,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,No,No,No,Two Year,Yes,Credit Card,Stayed,Unknown,Unknown
63,4,10,48.2,340.35,0.0,0,73.71,414.06,64233-GUJ,Female,No,Gujarat,Deal 5,Yes,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,Stayed,Unknown,Unknown
41,3,1,90.45,5957.9,0.0,0,1849.9,7807.8,23612-UTT,Female,No,Uttar Pradesh,Unknown,Yes,Yes,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,Stayed,Unknown,Unknown
48,0,1,45.2,2460.55,0.0,0,0.0,2460.55,45397-RAJ,Male,Yes,Rajasthan,Unknown,No,Unknown,Yes,Cable,Yes,No,No,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,Stayed,Unknown,Unknown
26,6,22,116.8,8456.75,0.0,0,1152.72,9609.47,53023-UTT,Male,Yes,Uttar Pradesh,Unknown,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,Stayed,Unknown,Unknown
56,15,26,68.95,351.5,0.0,0,93.25,444.75,13717-UTT,Male,Yes,Uttar Pradesh,Unknown,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed,Unknown,Unknown
36,8,6,101.3,7261.25,0.0,0,162.0,7423.25,71897-MAH,Female,Yes,Maharashtra,Deal 1,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,Stayed,Unknown,Unknown
38,1,19,45.05,2560.1,0.0,0,0.0,2560.1,15776-UTT,Female,Yes,Uttar Pradesh,Unknown,No,Unknown,Yes,DSL,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,Stayed,Unknown,Unknown
53,5,8,95.75,6849.4,0.0,0,1935.46,8784.86,56731-BIH,Female,Yes,Bihar,Deal 1,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,Stayed,Unknown,Unknown
47,14,4,61.25,1993.2,0.0,0,0.0,1993.2,49302-GUJ,Female,No,Gujarat,Unknown,No,Unknown,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,Stayed,Unknown,Unknown
67,13,19,72.1,72.1,0.0,0,7.77,79.87,93520-GUJ,Female,No,Gujarat,Deal 5,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,Joined,Unknown,Unknown
74,0,30,62.7,2791.5,0.0,0,480.15,3271.65,73360-AND,Female,No,Andhra Pradesh,Unknown,Yes,No,Yes,DSL,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,Churned,Dissatisfaction,Limited range of services
64,15,33,25.1,25.1,0.0,0,0.0,25.1,36756-MAD,Male,Yes,Madhya Pradesh,Unknown,No,Unknown,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned,Competitor,Competitor made better offer
78,12,12,25.2,1306.3,0.0,0,1571.5,2877.8,11925-MAH,Female,Yes,Maharashtra,Unknown,Yes,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,One Year,No,Bank Withdrawal,Stayed,Unknown,Unknown
29,12,20,94.1,1215.6,0.0,0,566.28,1781.88,87346-MAD,Female,Yes,Madhya Pradesh,Unknown,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,Churned,Other,Don't know
29,8,22,83.75,1849.95,0.0,0,802.93,2652.88,86818-MAH,Female,Yes,Maharashtra,Deal 4,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed,Unknown,Unknown
18,9,7,19.85,57.2,0.0,0,9.36,66.56,57256-BIH,Female,No,Bihar,Unknown,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Month-to-Month,No,Credit Card,Joined,Unknown,Unknown
31,12,24,20.35,76.35,0.0,0,49.72,126.07,65431-CHH,Female,No,Chhattisgarh,Deal 5,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Month-to-Month,No,Credit Card,Churned,Price,Long distance charges
34,12,26,30.5,30.5,0.0,0,0.0,30.5,13829-PUN,Female,Yes,Punjab,Unknown,No,Unknown,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,Churned,Attitude,Attitude of service provider
35,14,18,103.7,5656.75,0.0,20,1927.2,7603.95,19279-UTT,Female,No,Uttar Pradesh,Unknown,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,Stayed,Unknown,Unknown
